,nationality,pace,shooting,passing,dribbling,defending,physic
0,Argentina,78.34782608695652,67.52173913043478,71.52173913043478,77.56521739130434,54.52173913043478,68.04347826086956
1,Belgium,75.17391304347827,64.8695652173913,70.34782608695652,74.6086956521739,53.34782608695652,66.6086956521739
2,Brazil,81.26086956521739,67.21739130434783,71.47826086956522,79.43478260869566,55.95652173913044,70.78260869565217
3,England,79.43478260869566,67.0,73.34782608695652,78.91304347826087,55.56521739130435,67.3913043478261
4,France,80.04347826086956,60.91304347826087,71.78260869565217,77.82608695652173,66.08695652173913,73.82608695652173
5,Germany,73.21739130434783,67.34782608695652,73.52173913043478,76.0,60.82608695652174,70.04347826086956
6,Italy,73.08695652173913,64.43478260869566,70.17391304347827,75.8695652173913,63.608695652173914,72.47826086956522
7,Netherlands,78.04347826086956,63.30434782608695,68.47826086956522,74.17391304347827,58.26086956521739,73.8695652173913
8,Portugal,78.04347826086956,69.82608695652173,72.30434782608695,78.69565217391305,54.82608695652174,70.0
9,Spain,73.08695652173913,69.69565217391305,76.95652173913044,79.30434782608695,63.91304347826087,69.30434782608695
