fifa_jaar,nationality,overall,potential
2015,Argentina,81.78260869565217,83.34782608695652
2015,Belgium,79.69565217391305,83.30434782608695
2015,Brazil,82.34782608695652,83.3913043478261
2015,Colombia,77.6086956521739,80.08695652173913
2015,England,80.47826086956522,81.65217391304348
2015,France,81.95652173913044,83.52173913043478
2015,Germany,83.95652173913044,85.65217391304348
2015,Italy,81.26086956521739,82.8695652173913
2015,Netherlands,79.69565217391305,81.78260869565217
2015,Portugal,80.0,80.8695652173913
2015,Serbia,76.95652173913044,80.43478260869566
2015,Spain,84.08695652173913,85.30434782608695
2016,Argentina,82.65217391304348,84.0
2016,Belgium,80.78260869565217,83.04347826086956
2016,Brazil,83.21739130434783,84.65217391304348
2016,Colombia,78.6086956521739,80.91304347826087
2016,England,81.30434782608695,82.34782608695652
2016,France,82.95652173913044,84.6086956521739
2016,Germany,84.1304347826087,86.08695652173913
2016,Italy,81.95652173913044,82.91304347826087
2016,Netherlands,80.56521739130434,83.04347826086956
2016,Portugal,80.91304347826087,83.17391304347827
2016,Serbia,78.47826086956522,81.34782608695652
2016,Spain,84.3913043478261,85.56521739130434
2017,Argentina,83.91304347826087,85.26086956521739
2017,Belgium,82.17391304347827,83.69565217391305
2017,Brazil,84.21739130434783,85.3913043478261
2017,Colombia,78.65217391304348,80.26086956521739
2017,England,82.17391304347827,83.91304347826087
2017,France,84.47826086956522,85.56521739130434
2017,Germany,85.30434782608695,86.65217391304348
2017,Italy,83.34782608695652,84.30434782608695
2017,Netherlands,80.52173913043478,82.91304347826087
2017,Portugal,82.78260869565217,84.6086956521739
2017,Serbia,78.43478260869566,79.82608695652173
2017,Spain,85.1304347826087,85.8695652173913
2018,Argentina,83.78260869565217,84.91304347826087
2018,Belgium,83.04347826086956,85.1304347826087
2018,Brazil,84.30434782608695,85.82608695652173
2018,Colombia,78.69565217391305,80.3913043478261
2018,England,81.91304347826087,83.95652173913044
2018,France,84.43478260869566,87.08695652173913
2018,Germany,84.82608695652173,86.1304347826087
2018,Italy,83.6086956521739,85.26086956521739
2018,Netherlands,80.6086956521739,82.6086956521739
2018,Portugal,82.43478260869566,84.91304347826087
2018,Serbia,78.34782608695652,80.3913043478261
2018,Spain,85.6086956521739,86.91304347826087
2019,Argentina,83.3913043478261,84.17391304347827
2019,Belgium,83.21739130434783,84.73913043478261
2019,Brazil,85.69565217391305,86.95652173913044
2019,Colombia,79.43478260869566,81.17391304347827
2019,England,81.8695652173913,83.52173913043478
2019,France,84.91304347826087,87.8695652173913
2019,Germany,84.95652173913044,86.95652173913044
2019,Italy,83.78260869565217,84.8695652173913
2019,Netherlands,80.6086956521739,82.47826086956522
2019,Portugal,82.3913043478261,84.82608695652173
2019,Serbia,78.56521739130434,80.30434782608695
2019,Spain,86.08695652173913,87.08695652173913
2020,Argentina,83.30434782608695,84.56521739130434
2020,Belgium,83.04347826086956,84.56521739130434
2020,Brazil,85.52173913043478,86.6086956521739
2020,Colombia,79.04347826086956,80.47826086956522
2020,England,82.26086956521739,84.1304347826087
2020,France,85.30434782608695,87.82608695652173
2020,Germany,84.95652173913044,87.1304347826087
2020,Italy,83.47826086956522,84.91304347826087
2020,Netherlands,81.82608695652173,83.6086956521739
2020,Portugal,83.17391304347827,84.95652173913044
2020,Serbia,79.17391304347827,81.69565217391305
2020,Spain,85.52173913043478,86.34782608695652
2021,Argentina,83.47826086956522,84.69565217391305
2021,Belgium,82.34782608695652,83.34782608695652
2021,Brazil,85.0,85.69565217391305
2021,Colombia,78.73913043478261,80.04347826086956
2021,England,83.1304347826087,85.65217391304348
2021,France,84.69565217391305,86.56521739130434
2021,Germany,84.65217391304348,86.34782608695652
2021,Italy,82.47826086956522,83.6086956521739
2021,Netherlands,81.6086956521739,83.82608695652173
2021,Portugal,82.8695652173913,85.08695652173913
2021,Serbia,78.65217391304348,80.17391304347827
2021,Spain,84.82608695652173,85.56521739130434
2022,Argentina,83.30434782608695,84.34782608695652
2022,Belgium,82.04347826086956,82.65217391304348
2022,Brazil,84.43478260869566,85.08695652173913
2022,Colombia,78.6086956521739,79.65217391304348
2022,England,84.17391304347827,86.78260869565217
2022,France,84.65217391304348,86.78260869565217
2022,Germany,84.82608695652173,85.78260869565217
2022,Italy,83.26086956521739,84.82608695652173
2022,Netherlands,81.82608695652173,83.95652173913044
2022,Portugal,83.21739130434783,85.0
2022,Serbia,77.91304347826087,79.73913043478261
2022,Spain,84.82608695652173,85.3913043478261
